sutra_ref	sutra_id	final_form	dhatu_root	dhatu_meaning	gana	wiki_target	chain
1.1.1	11001	आश्वलायन	अश्वल	शब्द			आश्वलायन:। अश्वल+फक्। आश्वल्+आयन। आश्वलायन+सुँ। आश्वलायन:।
1.1.1	11001	शालीय	शाला	शब्द			शालीय:। शाला+छ। शाल्+ईय। शालीय+सुँ। शालीयः।
1.1.1	11001	ऐतिकायन	इतिक	शब्द			ऐतिकायन:। इतिक+फक्। ऐतिक्+आयन। ऐतिकायन+सुँ। ऐतिकायनः।
1.1.1	11001	औपगवः	उपगु	शब्द			औपगवः। उपगु+अण्। औपगो+अ। औपगव+सुँ। औपगवः।
1.1.2	11002	कर्त्ता	डुकृञ्	करणे	तना०उ०	08.0010__डुकृञ्_करणे	कर्त्ता। कृ+तृच्। कर्+तृ। कर्तृ+सुँ। कर्त् अनङ्+स्। कर्तन्+स्। कर्तान्+स्। कर्तान्+०। कर्ता।
1.1.2	11002	जेता	जि	जये	भ्वा०3०		जेता। जि+तृच्। जे+तृ। जेतृ+सुँ। जेत अनङ्+सुँ। जेतन्+स्। जेतान्+स्। जेतान्+०। जेता।
1.1.2	11002	होता	हु	दानादनयोरादाने चेत्येकें	अदा० प०		होता। हु+तृच्। हो+तृ। होतृ+सुँ। होत् अनङ्+स्। होतन्+स्। होतान्+01 होता।
1.1.3	11003	जेता	जि	जये	भ्वादि		जेता। जि+तृच्। जि+तृ। जेतृ+सुँ। जेता
1.1.3	11003	होता	हु	दानादनयोरादाने चेत्येके	अदा०प०		होता। हु+तृच्। हु+तृ। होतृ+सुँ। होता।
1.1.3	11003	कर्ता	डुकृञ्	करणे	तना० उ०	08.0010__डुकृञ्_करणे	कर्ता। कृ+तृच्। कृ+तृ। कर्तृ+सुँ। कर्ता।
1.1.3	11003	अचैषीत्	चिञ्	चयने			अचैषीत्। चि+लुङ्। अट्+चि+च्लि+तिप्। अ+चि+सिच्+ति। अ+चि+स्+ईट्+त्। अ+चै+ष्+ई+त्। अचैषीत्।
1.1.4	11004	चेचियः	चिञ्	चयने	स्वा००उ०		चेचियः। चेचिय+अच्। चेचिय+अ। चेचिय+सुँ। चेचियः।
1.1.4	11004	लोलुवः	लूज	लवने	क्रया०3०		लोलुवः। लोलूय+अच्। लोलू+अ। लोल उवङ्+अ। लोलुव्+अ। लोलुवः।
1.1.4	11004	मरीमृजः	मजूष	शुद्धौ	अदा०प०		मरीमृजः। मरीमृज्+अच्। मरीमृ+अ। मरीमृज+सुँ। मरीमृजः।
1.1.5	11005	जिष्णुः	जि	जये	भ्वा०प०		जिष्णुः। जि+गस्नु। जि+स्नु। जिष्णु+सुँ। जिष्णुः।
1.1.5	11005	भूष्णुः	भू	सत्तायाम्	भ्वा०प०		भूष्णुः। भू+ग्स्नु। भू+स्नु। भूष्णु+सुँ। भूष्णुः।
